08.05,Dezyderia Ilza Marek Michał Piotr Stanisław 
09.05,Beatus Bożydar Grzegorz Job Karolina Mikołaj 
10.05,Antonin Częstomir Izydor Jan Symeon Wiktoryna 
11.05,Adalbert Benedykt Filip Franciszek Iga Ignacja Ignacy Lew Lutogniew Mamert Mira Żegota 
12.05,Domicela Domicjan Dominik Epifani Flawia Jan Jazon Joanna Pankracy 
13.05,Andrzej Aron Ciechosław Gloria Magdalena Piotr Robert Roberta Serwacy 
14.05,Bonifacy Bończa Dobiesław Jeremi Jeremiasz Maciej Wiktor Wiktoriusz 
15.05,Afanazy Atanazy Berta Cecyliusz Czcibora Dionizja Izydor Jan Nadzieja Ruprecht Strzeżysław Zofia 
16.05,Andrzej Honorat Jan Jędrzej Nepomucen Szymon Trzebomysł Ubald Wieńczysław 
17.05,Bruno Herakliusz Paschalis Sławomir Torpet Weronika Wiktor Wiktoriusz 
18.05,Aleksander Aleksandra Alicja Edwin Eryk Eryka Feliks Irina Liboriusz Myślibor Wenancjusz 
19.05,Augustyn Celestyn Iwo Mikołaj Pękosław Piotr Potencjana 
20.05,Anastazy Asteriusz Bazyli Bazylid Bazylis Bernardyn Bernardyna Bronimir Iwo Sawa Teodor Wiktoria 
21.05,Donat Donata Jan Kryspin Przecława Pudens Tymoteusz Walenty Wiktor Wiktoriusz 
22.05,Emil Helena Jan Julia Krzesisława Rita Wiesław Wiesława Wisława 
23.05,Budziwoj Dezyderiusz Dezydery Emilia Iwona Jan Leontyna Michał Symeon 
24.05,Cieszysława Estera Jan Joanna Maria Mokij Wincenty Zula Zuzanna 
25.05,Epifan Grzegorz Imisława Maria Magdalena Urban 
26.05,Beda Filip Marianna Paulina Więcemił Wilhelmina 
27.05,Beda Izydor Jan Juliusz Lucjan Magdalena Radowit 
28.05,Augustyn German Jaromir Priam Wiktor Wiktoriusz Wilhelm Wrócimir 
29.05,Bogusława Maksymilian Maria Magdalena Teodor Teodozja 
30.05,Andonik Feliks Ferdynand Joanna Sulimir 
31.05,Aniela Bożysława Ernesta Ernestyna Feliks Petronela Petronia Petroniusz Teodor 
01.06,Alfons Alfonsyna Ernard Fortunat Gracjana Hortensjusz Jakub Konrad Konrada Magdalena Nikodem Symeon 
02.06,Efrem Erazm Eugeniusz Marcelin Maria Marianna Mikołaj Piotr Racisław 
03.06,Cecyliusz Ferdynand Klotylda Konstantyn Laurencjusz Laurentyn Laurentyna Leszek Paula Tamara Wawrzyniec 
04.06,Bazyliusz Dacjan Franciszek Gościmił Karol Karp 
05.06,Bonifacy Bończa Dobrociech Dobromir Dobrymir Nikanor Waleria Walter 
06.06,Benignus Dominika Klaudiusz Laurenty Norbert Norberta Paulina Symeon Więcerad 
07.06,Antoni Ciechomir Jarosław Lukrecja Paweł Robert Roberta Wiesław Wisław 
08.06,Karp Medard Seweryn Wilhelm 
09.06,Felicjan Pelagia Pelagiusz 
10.06,Bogumił Edgar Małgorzata Mauryn Nikita Onufry 
11.06,Anastazy Barnaba Feliks Radomił Teodozja 
12.06,Antonina Bazyli Jan Leon Onufry Wyszemir 
13.06,Antoni Chociemir Herman Lucjan Maria Magdalena Tobiasz 
14.06,Bazylid Bazylis Eliza Justyn Justyna Ninogniew Walerian Waleriana 
15.06,Abraham Angelina Bernard Jolanta Leona Leonida Nikifor Wit Witold Witolda Witołd Witosław Wodzisław 
16.06,Alina Aneta Benon Budzimir Jan Justyna Ludgarda Wiktorian 
17.06,Adolf Adolfa Adolfina Agnieszka Alf Drogomysł Franciszek Laura Marcjan Radomił Rainer Wolmar 
18.06,Efrem Elżbieta Gerwazy Leonia Marek Marina Paula 
19.06,Borzysław Gerwazy Julianna Odo Protazy Sylweriusz 
20.06,Bogna Bogumiła Bożena Florentyna Franciszek Michał Rafaela Rafał Sylwery 
21.06,Albaniusz Alicja Alojzy Demetria Domamir lojza Marta Rudolf Rudolfa Rudolfina Teodor 
22.06,Achacjusz Achacy Agenor Alban Broniwoj Flawiusz Innocenta Innocenty Kirył Paulina 
23.06,Agrypina Albin Bazyli Józef Piotr Prosper Wanda Zenon Zenona 
24.06,Dan Danisz Danuta Emilia Jan Wilhelm 
25.06,Albrecht Eulogiusz Lucja Łucja Tolisława Wilhelm 
26.06,Jan Jeremi Jeremiasz Paweł Zdziwoj 
27.06,Maria Magdalena Władysław Władysława Włodzisław 
28.06,Amos Ireneusz Józef Leon Paweł Raissa Zbrosław 
